created_at,tweet,user_location,user_timezone,geo,place_coordinates
"Sun Sep 03 05:16:55 +0000 2017","RT @OverTheMoonbat: #PresidentTrump - #HarveyRelief #Prayers #EPluribusUnum
Hurricane Victim on President Trump
https://t.co/tOcDqISl7L… ",,"Pacific Time (US & Canada)",,,
"Sun Sep 03 05:16:55 +0000 2017","RT @Fuctupmind: cough *bullshit* cough https://t.co/eYW8TuogI9",,,,,
"Sun Sep 03 05:16:55 +0000 2017","RT @ABC: Pres. Trump praises Coast Guard for saving people ""by going into winds that the media would not go into...unless it… ","Arecibo, Puerto Rico",,,,
"Sun Sep 03 05:16:55 +0000 2017","RT @NicolleDWallace: His vocabulary is inexplicable https://t.co/ylHDA5QZw5","Virginia, USA",,,,
"Sun Sep 03 05:16:55 +0000 2017","RT @moira: For the first time ever, the head of NASA will have zero scientific qualifications. https://t.co/21XVR5VZec",,"Central Time (US & Canada)",,,
"Sun Sep 03 05:16:56 +0000 2017","RT @StopTrump2020: We all knew Trump was lying - now it is documented fact! https://t.co/u36E9zs2A9",Washington,"Pacific Time (US & Canada)",,,
"Sun Sep 03 05:16:55 +0000 2017","RT @President1Trump: BREAKING: Top Democrat Admits Trump Was Right About Voter Fraud - Trumpservative News https://t.co/WBFuCN61gs",,"Eastern Time (US & Canada)",,,
"Sun Sep 03 05:16:56 +0000 2017","RT @davidmweissman: With all due respect .@SenJohnMcCain @MeghanMcCain, I live in Israel and I'm more in touch with Americans than you. htt…"," B&R 💯% TEXAN 💋DIVA",,,,
"Sun Sep 03 05:16:56 +0000 2017","RT @SouthernGemGal: Things supposedly grown folks do for RTs. Regardless of if a child is in the picture. People have no souls. SMH https:/…",,,,,
"Sun Sep 03 05:16:56 +0000 2017","RT @RWPUSA: Trump administration acknowledges a lie

Justice Department: No evidence Trump Tower was wiretapped https://t.co/XUH3Z27PYr",Michigan,,,,
