created_at,tweet,user_location,user_timezone,geo,place_coordinates
"Sun Sep 03 05:22:53 +0000 2017","RT @thebradfordfile: McCain: Please take time over this long weekend and look in the mirror. You have done more damage to OUR president… ","Georgia, USA",,,,
"Sun Sep 03 05:22:53 +0000 2017","RT @SaysHummingbird: ""US Dept of Justice: Trump's claim that Obama wiretapped his campaign is false""

Trump owes an apology to Obama.

http…","Lafayette, CO",,,,
"Sun Sep 03 05:22:53 +0000 2017","RT @GeorgiaDirtRoad: TRUMP NATION 🇺🇸🙌🏻

Please Follow My Good Friend &amp; Fellow Patriot🇺🇸👉🏻@TheMeemStreams 

Congrats On 20K Followers 🎉… ","대한민국 충청북도",,,,
"Sun Sep 03 05:22:53 +0000 2017","RT @brianklaas: Obama's NASA appointee was a Navy test pilot who served as an astronaut for 14 years, received 16 military awards &amp;… ",,,,,
"Sun Sep 03 05:22:53 +0000 2017","RT @brianklaas: Obama's NASA appointee was a Navy test pilot who served as an astronaut for 14 years, received 16 military awards &amp;… ",MH-12,Chennai,,,
"Sun Sep 03 05:22:53 +0000 2017","RT @gelliottmorris: Pres approval

Nixon - Watergate: 36%
W Bush -  Financial crisis: 35%
Reagan - Iran Contra:  46%
Ford - Nixon pardoned:…","Milky Way, Universe","Pacific Time (US & Canada)",,,
"Sun Sep 03 05:22:53 +0000 2017","A lot of fake bullshit!! Your parents must have been republicans and you can not make up your mind for yourself !So… https://t.co/pFXpBN9cXf","Worldwide ",,,,
"Sun Sep 03 05:22:54 +0000 2017","RT @TalbertSwan: @realDonaldTrump Dear LORD deliver us from EVIL (#Trump) Remove this thorn in the flesh so America can begin to ""heel""",,,,,
"Sun Sep 03 05:22:54 +0000 2017","RT @djrothkopf: Situation w N Korea is most dangerous in world.  It has grown acutely more dangerous under Trump. He has mismanaged at ever…","World (Lisbon & New York City)",Lisbon,,,
"Sun Sep 03 05:22:54 +0000 2017","RT @WilDonnelly: Houston mayor says Trump hasn't returned his repeated calls. 

Trump thanks cabinet members, FEMA director &amp; TX gov… ",,,,,
