created_at,tweet,user_location,user_timezone,geo,place_coordinates
"Sun Sep 03 05:23:13 +0000 2017","@curlyheckler  with that said..I believe its timing that must be perfect &amp; I believe our creator realized this is the PERFECT time 4 Trump","New York, New York ","Atlantic Time (Canada)",,,
"Sun Sep 03 05:23:13 +0000 2017","RT @AynRandPaulRyan: Does this video qualify for the ""Trump has dementia"" hall of fame moment?
""Have a great time, everybody.""

At a she… ","Near Toulouse, France",Amsterdam,,,
"Sun Sep 03 05:23:13 +0000 2017","Trump weighs pulling out of free trade deal with South Korea https://t.co/fq6V5REL68",,"Pacific Time (US & Canada)",,,
"Sun Sep 03 05:23:13 +0000 2017","RT @BillBishopKHOU: I've had with the insults.  Let's see him stand in E. coli water reporting for hours like the media does. #khou https:/…","512 ","Central Time (US & Canada)",,,
"Sun Sep 03 05:23:13 +0000 2017","RT @Rosie: no business dealings in russia #lyingsackofshit https://t.co/nmyB6Ps82n","Seattle, WA",,,,
"Sun Sep 03 05:23:13 +0000 2017","Trump winks at for-profit college fraudsters, hires industry vet to run key oversight team https://t.co/xoWNnn9zXL via @thinkprogress",,,,,
"Sun Sep 03 05:23:13 +0000 2017","RT @briaatortillaa: Idek how I could ever explain 2017 to someone https://t.co/L7f6yRpQUC","In the Potter's Hands...",Dublin,,,
"Sun Sep 03 05:23:13 +0000 2017","RT @briaatortillaa: Idek how I could ever explain 2017 to someone https://t.co/L7f6yRpQUC",Texas,"Mountain Time (US & Canada)",,,
"Sun Sep 03 05:23:13 +0000 2017","RT @amandablount2: Something about this photo makes me believe Trump will never call him and thank him for hard work. https://t.co/QpK1aSru…",,,,,
"Sun Sep 03 05:23:13 +0000 2017","RT @kylegriffin1: Trump to nominate ex-coal exec. who fought Obama-era safety regulations as the nation's top mine safety official. https:/…","Rapid City, SD","Mountain Time (US & Canada)",,,
"Sun Sep 03 05:23:13 +0000 2017","RT @AndyBCampbell: We were literally on the helicopter with them https://t.co/wc7BMZg6gc","Ashford Middlesex ",,,,
"Sun Sep 03 05:23:14 +0000 2017","RT @TopherSpiro: Trump GUTTED funding for ACA advertising—and SLASHED the open enrollment period. So he *really* doesn't want you to… ",,,,,
"Sun Sep 03 05:23:14 +0000 2017","RT @TopherSpiro: Trump GUTTED funding for ACA advertising—and SLASHED the open enrollment period. So he *really* doesn't want you to… ",Zootopia,"Central Time (US & Canada)",,,
"Sun Sep 03 05:23:14 +0000 2017","RT @PrincessBravato: He's so disgusting does he not even get the basics of how our country is? https://t.co/rkZFzHUlMB","United States",,,,
"Sun Sep 03 05:23:14 +0000 2017","RT @TeaPainUSA: Pence is part of the cover-up.  A phony ""Christian"" can't pray to Jesus with a Judas mouth!  He's goin' down too! https://t…","Georgia, USA",,,,
"Sun Sep 03 05:23:14 +0000 2017","RT @jimsciutto: POTUS Aug 22 Phoenix: ""I respect the fact that he is starting to respect us,"" Trump said of North Korean leader Kim… ","Manhattan, NY","Eastern Time (US & Canada)",,,
"Sun Sep 03 05:23:14 +0000 2017","RT @tribelaw: Tone deaf barely scratches the surface. A badly programmed bot could do better. https://t.co/PwOl1saeLt","South Carolina","Pacific Time (US & Canada)",,,
"Sun Sep 03 05:23:14 +0000 2017","RT @JoyAnnReid: It just keeps getting worse. https://t.co/ypZOK8GtDs","Phoenix, AZ",,,,
"Sun Sep 03 05:23:14 +0000 2017","RT @Elizasoul80: I didn't need to see Obama's birth certificate to believe he's American, but I'll definitely need to see Trump's hurricane…","CLE ","Central Time (US & Canada)",,,
