created_at,tweet,user_location,user_timezone,geo,place_coordinates
"Tue Sep 12 02:27:32 +0000 2017","RT @dcexaminer: 99.2% of seniors say media wants Trump to fail, 71% ""strongly"" back reelection https://t.co/9rakAlhKad https://t.co/CmZbBNA…","♡ Right where God wants me ♡","Eastern Time (US & Canada)",,,
"Tue Sep 12 02:27:32 +0000 2017","RT @kwilli1046: #Trump Has Right to #Defund Planned Parenthood, Says 8th Circuit Court of Appeals https://t.co/lpKVj5hFhM","Olympia, WA",,,,
"Tue Sep 12 02:27:31 +0000 2017","RT @TeaPainUSA: Bannon says, ""Trump firing Comey was the biggest mistake in modern political history"", but that's actually a distant second…","Chicago, New York, Detroit. ",,,,
"Tue Sep 12 02:27:32 +0000 2017","Law and order has been restored. https://t.co/HrNO4YJRHY",,,,,
"Tue Sep 12 02:27:32 +0000 2017","RT @ShekharGupta: Wrong &amp; unwise of BJP to answer a critic with libel, besides the fact that @Ram_Guha piece doesn't look like what c… ",,,,,
"Tue Sep 12 02:27:31 +0000 2017","RT @BillKristol: This was Donald Trump, calling in to a TV station on Sep. 11, 2001. https://t.co/I6bKvxI2pk","a, tx",Arizona,,,
"Tue Sep 12 02:27:32 +0000 2017","RT @MattAsherS: Trump won't ever fire Jared. He runs his presidency like a mob family &amp; hiring corrupt, incompetent family members… ","Colorado, USA",,,,
"Tue Sep 12 02:27:32 +0000 2017","RT @shadesof666: she called Trump out on his shit and dragged him to filth at a pageant that he funds. Miss Texas you're doing amazi… ","Raleigh, NC",,,,
"Tue Sep 12 02:27:32 +0000 2017","@gehrig38 you think @espn will fire or reprimand @jemelehill for this tweet? https://t.co/D72m2jgcen",Houston,"Central Time (US & Canada)",,,
"Tue Sep 12 02:27:32 +0000 2017","RT @brianklaas: 16 years ago, today, Trump talked about how his building was now the tallest one since the World Trade Center fell. https:/…","Brooklyn, NY","Eastern Time (US & Canada)",,,
"Tue Sep 12 02:27:32 +0000 2017","RT @ChrisRBarron: If you hate Trump so much that you are willing to dishonor the memory of 9/11 victims on 9/11 then you need to reevaluate…","California, USA",Alaska,,,
"Tue Sep 12 02:27:32 +0000 2017","RT @RealJamesWoods: Hmmm. I didn't think #Trump had a chance in 2016. Now I think he is unbeatable. @thedemocrats will offer somebody r… ","Toronto, Ontario",,,,
"Tue Sep 12 02:27:32 +0000 2017","RT @shadesof666: she called Trump out on his shit and dragged him to filth at a pageant that he funds. Miss Texas you're doing amazi… ",USA,,,,
"Tue Sep 12 02:27:32 +0000 2017","RT @txvoodoo: BTW, this is my kind of Texan. https://t.co/lM5rXp0Q89",www.freekibble.com,"Eastern Time (US & Canada)",,,
"Tue Sep 12 02:27:32 +0000 2017","RT @shadesof666: she called Trump out on his shit and dragged him to filth at a pageant that he funds. Miss Texas you're doing amazi… ",Clouds,,,,
"Tue Sep 12 02:27:32 +0000 2017","RT @shadesof666: she called Trump out on his shit and dragged him to filth at a pageant that he funds. Miss Texas you're doing amazi… ",,Arizona,,,
"Tue Sep 12 02:27:32 +0000 2017","RT @BettyBowers: #NeverForget Trump's reaction to the World Trade Center being destroyed: He BRAGGED that his building was now the t… ","Sugar Land, TX",,,,
"Tue Sep 12 02:27:32 +0000 2017","RT @funder: Wow #DeportMelania really pisses Republicans off—especially Trump. So don't retweet it. 😱",,,,,
"Tue Sep 12 02:27:32 +0000 2017","RT @JesseLehrich: unreal. now a 'tribute video' that's entirely shots of Trump.

no first responders, no memorial, nothing. https://t.co/Rd…",ftx,"Pacific Time (US & Canada)",,,
"Tue Sep 12 02:27:32 +0000 2017","RT @educatorsresist: ZERO FUCKING IMAGES OF GROUND ZERO. ZERO ACKNOWLEDGEMENT OF THE VICTIMS. 100% ABOUT DONALD TRUMP. He really can mak… ",,"Eastern Time (US & Canada)",,,
